"","cell","patient","number_batch","experiment","depletion_batch"
"PT089_P1_A01","PT089_P1_A01","PT089","B5","Exp1","depleted_yes"
"PT089_P1_A02","PT089_P1_A02","PT089","B5","Exp1","depleted_yes"
"PT089_P1_A03","PT089_P1_A03","PT089","B5","Exp1","depleted_yes"
"PT089_P1_A04","PT089_P1_A04","PT089","B5","Exp1","depleted_yes"
"PT089_P1_A05","PT089_P1_A05","PT089","B5","Exp1","depleted_yes"
"PT089_P1_A06","PT089_P1_A06","PT089","B5","Exp1","depleted_yes"
"PT089_P1_A07","PT089_P1_A07","PT089","B5","Exp1","depleted_yes"
"PT089_P1_A08","PT089_P1_A08","PT089","B5","Exp1","depleted_yes"
"PT089_P1_A09","PT089_P1_A09","PT089","B5","Exp1","depleted_yes"
"PT089_P1_A10","PT089_P1_A10","PT089","B5","Exp1","depleted_yes"
"PT089_P1_A12","PT089_P1_A12","PT089","B5","Exp1","depleted_yes"
"PT089_P1_B01","PT089_P1_B01","PT089","B5","Exp1","depleted_yes"
"PT089_P1_B02","PT089_P1_B02","PT089","B5","Exp1","depleted_yes"
"PT089_P1_B03","PT089_P1_B03","PT089","B5","Exp1","depleted_yes"
"PT089_P1_B04","PT089_P1_B04","PT089","B5","Exp1","depleted_yes"
"PT089_P1_B06","PT089_P1_B06","PT089","B5","Exp1","depleted_yes"
"PT089_P1_B07","PT089_P1_B07","PT089","B5","Exp1","depleted_yes"
"PT089_P1_B08","PT089_P1_B08","PT089","B5","Exp1","depleted_yes"
"PT089_P1_B09","PT089_P1_B09","PT089","B5","Exp1","depleted_yes"
"PT089_P1_B11","PT089_P1_B11","PT089","B5","Exp1","depleted_yes"
"PT089_P1_B12","PT089_P1_B12","PT089","B5","Exp1","depleted_yes"
"PT089_P1_C01","PT089_P1_C01","PT089","B5","Exp1","depleted_yes"
"PT089_P1_C02","PT089_P1_C02","PT089","B5","Exp1","depleted_yes"
"PT089_P1_C03","PT089_P1_C03","PT089","B5","Exp1","depleted_yes"
"PT089_P1_C04","PT089_P1_C04","PT089","B5","Exp1","depleted_yes"
"PT089_P1_C05","PT089_P1_C05","PT089","B5","Exp1","depleted_yes"
"PT089_P1_C06","PT089_P1_C06","PT089","B5","Exp1","depleted_yes"
"PT089_P1_C07","PT089_P1_C07","PT089","B5","Exp1","depleted_yes"
"PT089_P1_C08","PT089_P1_C08","PT089","B5","Exp1","depleted_yes"
"PT089_P1_C09","PT089_P1_C09","PT089","B5","Exp1","depleted_yes"
"PT089_P1_C10","PT089_P1_C10","PT089","B5","Exp1","depleted_yes"
"PT089_P1_C11","PT089_P1_C11","PT089","B5","Exp1","depleted_yes"
"PT089_P1_C12","PT089_P1_C12","PT089","B5","Exp1","depleted_yes"
"PT089_P1_D01","PT089_P1_D01","PT089","B5","Exp1","depleted_yes"
"PT089_P1_D02","PT089_P1_D02","PT089","B5","Exp1","depleted_yes"
"PT089_P1_D03","PT089_P1_D03","PT089","B5","Exp1","depleted_yes"
"PT089_P1_D04","PT089_P1_D04","PT089","B5","Exp1","depleted_yes"
"PT089_P1_D05","PT089_P1_D05","PT089","B5","Exp1","depleted_yes"
"PT089_P1_D06","PT089_P1_D06","PT089","B5","Exp1","depleted_yes"
"PT089_P1_D07","PT089_P1_D07","PT089","B5","Exp1","depleted_yes"
"PT089_P1_D08","PT089_P1_D08","PT089","B5","Exp1","depleted_yes"
"PT089_P1_D09","PT089_P1_D09","PT089","B5","Exp1","depleted_yes"
"PT089_P3_A03_S291","PT089_P3_A03_S291","PT089","B3","Exp1","depleted_yes"
"PT089_P3_A05_S293","PT089_P3_A05_S293","PT089","B3","Exp1","depleted_yes"
"PT089_P3_A06_S294","PT089_P3_A06_S294","PT089","B3","Exp1","depleted_yes"
"PT089_P3_A08_S296","PT089_P3_A08_S296","PT089","B3","Exp1","depleted_yes"
"PT089_P3_B01_S301","PT089_P3_B01_S301","PT089","B3","Exp1","depleted_yes"
"PT089_P3_B02_S302","PT089_P3_B02_S302","PT089","B3","Exp1","depleted_yes"
"PT089_P3_B05_S305","PT089_P3_B05_S305","PT089","B3","Exp1","depleted_yes"
"PT089_P3_B06_S306","PT089_P3_B06_S306","PT089","B3","Exp1","depleted_yes"
"PT089_P3_B08_S308","PT089_P3_B08_S308","PT089","B3","Exp1","depleted_yes"
"PT089_P3_B09_S309","PT089_P3_B09_S309","PT089","B3","Exp1","depleted_yes"
"PT089_P3_B10_S310","PT089_P3_B10_S310","PT089","B3","Exp1","depleted_yes"
"PT089_P3_B12_S312","PT089_P3_B12_S312","PT089","B3","Exp1","depleted_yes"
"PT089_P3_C02_S314","PT089_P3_C02_S314","PT089","B3","Exp1","depleted_yes"
"PT089_P3_C03_S315","PT089_P3_C03_S315","PT089","B3","Exp1","depleted_yes"
"PT089_P3_C04_S316","PT089_P3_C04_S316","PT089","B3","Exp1","depleted_yes"
"PT089_P3_C05_S317","PT089_P3_C05_S317","PT089","B3","Exp1","depleted_yes"
"PT089_P3_C10_S322","PT089_P3_C10_S322","PT089","B3","Exp1","depleted_yes"
"PT089_P3_D01_S325","PT089_P3_D01_S325","PT089","B3","Exp1","depleted_yes"
"PT089_P3_D02_S326","PT089_P3_D02_S326","PT089","B3","Exp1","depleted_yes"
"PT089_P3_D03_S327","PT089_P3_D03_S327","PT089","B3","Exp1","depleted_yes"
"PT089_P3_D04_S328","PT089_P3_D04_S328","PT089","B3","Exp1","depleted_yes"
"PT089_P3_D05_S329","PT089_P3_D05_S329","PT089","B3","Exp1","depleted_yes"
"PT089_P3_D08_S332","PT089_P3_D08_S332","PT089","B3","Exp1","depleted_yes"
"PT089_P3_D09_S333","PT089_P3_D09_S333","PT089","B3","Exp1","depleted_yes"
"PT089_P3_D10_S334","PT089_P3_D10_S334","PT089","B3","Exp1","depleted_yes"
"PT089_P3_D12_S336","PT089_P3_D12_S336","PT089","B3","Exp1","depleted_yes"
"PT089_P3_E01_S337","PT089_P3_E01_S337","PT089","B3","Exp1","depleted_yes"
"PT089_P3_E02_S338","PT089_P3_E02_S338","PT089","B3","Exp1","depleted_yes"
"PT089_P3_E04_S340","PT089_P3_E04_S340","PT089","B3","Exp1","depleted_yes"
"PT089_P3_E05_S341","PT089_P3_E05_S341","PT089","B3","Exp1","depleted_yes"
"PT089_P3_E06_S342","PT089_P3_E06_S342","PT089","B3","Exp1","depleted_yes"
"PT089_P3_E07_S343","PT089_P3_E07_S343","PT089","B3","Exp1","depleted_yes"
"PT089_P3_E08_S344","PT089_P3_E08_S344","PT089","B3","Exp1","depleted_yes"
"PT089_P3_E09_S345","PT089_P3_E09_S345","PT089","B3","Exp1","depleted_yes"
"PT089_P3_E10_S346","PT089_P3_E10_S346","PT089","B3","Exp1","depleted_yes"
"PT089_P3_E11_S347","PT089_P3_E11_S347","PT089","B3","Exp1","depleted_yes"
"PT089_P3_F01_S349","PT089_P3_F01_S349","PT089","B3","Exp1","depleted_yes"
"PT089_P3_F02_S350","PT089_P3_F02_S350","PT089","B3","Exp1","depleted_yes"
"PT089_P3_F03_S351","PT089_P3_F03_S351","PT089","B3","Exp1","depleted_yes"
"PT089_P3_F05_S353","PT089_P3_F05_S353","PT089","B3","Exp1","depleted_yes"
"PT089_P3_F06_S354","PT089_P3_F06_S354","PT089","B3","Exp1","depleted_yes"
"PT089_P3_F07_S355","PT089_P3_F07_S355","PT089","B3","Exp1","depleted_yes"
"PT089_P3_F08_S356","PT089_P3_F08_S356","PT089","B3","Exp1","depleted_yes"
"PT089_P3_F09_S357","PT089_P3_F09_S357","PT089","B3","Exp1","depleted_yes"
"PT089_P3_F10_S358","PT089_P3_F10_S358","PT089","B3","Exp1","depleted_yes"
"PT089_P3_F11_S359","PT089_P3_F11_S359","PT089","B3","Exp1","depleted_yes"
"PT089_P3_F12_S360","PT089_P3_F12_S360","PT089","B3","Exp1","depleted_yes"
"PT089_P3_G02_S362","PT089_P3_G02_S362","PT089","B3","Exp1","depleted_yes"
"PT089_P3_G03_S363","PT089_P3_G03_S363","PT089","B3","Exp1","depleted_yes"
"PT089_P3_G04_S364","PT089_P3_G04_S364","PT089","B3","Exp1","depleted_yes"
"PT089_P3_G05_S365","PT089_P3_G05_S365","PT089","B3","Exp1","depleted_yes"
"PT089_P3_G06_S366","PT089_P3_G06_S366","PT089","B3","Exp1","depleted_yes"
"PT089_P3_G07_S367","PT089_P3_G07_S367","PT089","B3","Exp1","depleted_yes"
"PT089_P3_G08_S368","PT089_P3_G08_S368","PT089","B3","Exp1","depleted_yes"
"PT089_P3_G09_S369","PT089_P3_G09_S369","PT089","B3","Exp1","depleted_yes"
"PT089_P3_G10_S370","PT089_P3_G10_S370","PT089","B3","Exp1","depleted_yes"
"PT089_P3_G12_S372","PT089_P3_G12_S372","PT089","B3","Exp1","depleted_yes"
"PT089_P3_H01_S373","PT089_P3_H01_S373","PT089","B3","Exp1","depleted_yes"
"PT089_P3_H02_S374","PT089_P3_H02_S374","PT089","B3","Exp1","depleted_yes"
"PT089_P3_H03_S375","PT089_P3_H03_S375","PT089","B3","Exp1","depleted_yes"
"PT089_P3_H04_S376","PT089_P3_H04_S376","PT089","B3","Exp1","depleted_yes"
"PT089_P3_H05_S377","PT089_P3_H05_S377","PT089","B3","Exp1","depleted_yes"
"PT089_P3_H09_S381","PT089_P3_H09_S381","PT089","B3","Exp1","depleted_yes"
"PT089_P3_H10_S382","PT089_P3_H10_S382","PT089","B3","Exp1","depleted_yes"
"PT089_P3_H11_S383","PT089_P3_H11_S383","PT089","B3","Exp1","depleted_yes"
"PT089_P3_H12_S384","PT089_P3_H12_S384","PT089","B3","Exp1","depleted_yes"
"PT089_P7_A01_S1","PT089_P7_A01_S1","PT089","B6","Exp1","depleted_yes"
"PT089_P7_A02_S2","PT089_P7_A02_S2","PT089","B6","Exp1","depleted_yes"
"PT089_P7_A03_S3","PT089_P7_A03_S3","PT089","B6","Exp1","depleted_yes"
"PT089_P7_A04_S4","PT089_P7_A04_S4","PT089","B6","Exp1","depleted_yes"
"PT089_P7_A05_S5","PT089_P7_A05_S5","PT089","B6","Exp1","depleted_yes"
"PT089_P7_A06_S6","PT089_P7_A06_S6","PT089","B6","Exp1","depleted_yes"
"PT089_P7_A07_S7","PT089_P7_A07_S7","PT089","B6","Exp1","depleted_yes"
"PT089_P7_A08_S8","PT089_P7_A08_S8","PT089","B6","Exp1","depleted_yes"
"PT089_P7_A09_S9","PT089_P7_A09_S9","PT089","B6","Exp1","depleted_yes"
"PT089_P7_A10_S10","PT089_P7_A10_S10","PT089","B6","Exp1","depleted_yes"
"PT089_P7_A11_S11","PT089_P7_A11_S11","PT089","B6","Exp1","depleted_yes"
"PT089_P7_A12_S12","PT089_P7_A12_S12","PT089","B6","Exp1","depleted_yes"
"PT089_P7_B01_S13","PT089_P7_B01_S13","PT089","B6","Exp1","depleted_yes"
"PT089_P7_B02_S14","PT089_P7_B02_S14","PT089","B6","Exp1","depleted_yes"
"PT089_P7_B03_S15","PT089_P7_B03_S15","PT089","B6","Exp1","depleted_yes"
"PT089_P7_B04_S16","PT089_P7_B04_S16","PT089","B6","Exp1","depleted_yes"
"PT089_P7_B05_S17","PT089_P7_B05_S17","PT089","B6","Exp1","depleted_yes"
"PT089_P7_B06_S18","PT089_P7_B06_S18","PT089","B6","Exp1","depleted_yes"
"PT089_P7_B07_S19","PT089_P7_B07_S19","PT089","B6","Exp1","depleted_yes"
"PT089_P7_B08_S20","PT089_P7_B08_S20","PT089","B6","Exp1","depleted_yes"
"PT089_P7_B09_S21","PT089_P7_B09_S21","PT089","B6","Exp1","depleted_yes"
"PT089_P7_B10_S22","PT089_P7_B10_S22","PT089","B6","Exp1","depleted_yes"
"PT089_P7_B11_S23","PT089_P7_B11_S23","PT089","B6","Exp1","depleted_yes"
"PT089_P7_B12_S24","PT089_P7_B12_S24","PT089","B6","Exp1","depleted_yes"
"PT089_P7_C01_S25","PT089_P7_C01_S25","PT089","B6","Exp1","depleted_yes"
"PT089_P7_C02_S26","PT089_P7_C02_S26","PT089","B6","Exp1","depleted_yes"
"PT089_P7_C03_S27","PT089_P7_C03_S27","PT089","B6","Exp1","depleted_yes"
"PT089_P7_C04_S28","PT089_P7_C04_S28","PT089","B6","Exp1","depleted_yes"
"PT089_P7_C05_S29","PT089_P7_C05_S29","PT089","B6","Exp1","depleted_yes"
"PT089_P7_C06_S30","PT089_P7_C06_S30","PT089","B6","Exp1","depleted_yes"
"PT089_P7_C07_S31","PT089_P7_C07_S31","PT089","B6","Exp1","depleted_yes"
"PT089_P7_C08_S32","PT089_P7_C08_S32","PT089","B6","Exp1","depleted_yes"
"PT089_P7_C09_S33","PT089_P7_C09_S33","PT089","B6","Exp1","depleted_yes"
"PT089_P7_C10_S34","PT089_P7_C10_S34","PT089","B6","Exp1","depleted_yes"
"PT089_P7_C11_S35","PT089_P7_C11_S35","PT089","B6","Exp1","depleted_yes"
"PT089_P7_C12_S36","PT089_P7_C12_S36","PT089","B6","Exp1","depleted_yes"
"PT089_P7_D02_S38","PT089_P7_D02_S38","PT089","B6","Exp1","depleted_yes"
"PT089_P7_D03_S39","PT089_P7_D03_S39","PT089","B6","Exp1","depleted_yes"
"PT089_P7_D05_S41","PT089_P7_D05_S41","PT089","B6","Exp1","depleted_yes"
"PT089_P7_D06_S42","PT089_P7_D06_S42","PT089","B6","Exp1","depleted_yes"
"PT089_P7_D07_S43","PT089_P7_D07_S43","PT089","B6","Exp1","depleted_yes"
"PT089_P7_D08_S44","PT089_P7_D08_S44","PT089","B6","Exp1","depleted_yes"
"PT089_P7_D09_S45","PT089_P7_D09_S45","PT089","B6","Exp1","depleted_yes"
"PT089_P7_D10_S46","PT089_P7_D10_S46","PT089","B6","Exp1","depleted_yes"
"PT089_P7_D11_S47","PT089_P7_D11_S47","PT089","B6","Exp1","depleted_yes"
"PT089_P7_D12_S48","PT089_P7_D12_S48","PT089","B6","Exp1","depleted_yes"
"PT089_P7_E01_S49","PT089_P7_E01_S49","PT089","B6","Exp1","depleted_yes"
"PT089_P7_E02_S50","PT089_P7_E02_S50","PT089","B6","Exp1","depleted_yes"
"PT089_P7_E03_S51","PT089_P7_E03_S51","PT089","B6","Exp1","depleted_yes"
"PT089_P7_E04_S52","PT089_P7_E04_S52","PT089","B6","Exp1","depleted_yes"
"PT089_P7_E05_S53","PT089_P7_E05_S53","PT089","B6","Exp1","depleted_yes"
"PT089_P7_E06_S54","PT089_P7_E06_S54","PT089","B6","Exp1","depleted_yes"
"PT089_P7_E07_S55","PT089_P7_E07_S55","PT089","B6","Exp1","depleted_yes"
"PT089_P7_E08_S56","PT089_P7_E08_S56","PT089","B6","Exp1","depleted_yes"
"PT089_P7_E09_S57","PT089_P7_E09_S57","PT089","B6","Exp1","depleted_yes"
"PT089_P7_E10_S58","PT089_P7_E10_S58","PT089","B6","Exp1","depleted_yes"
"PT089_P7_E11_S59","PT089_P7_E11_S59","PT089","B6","Exp1","depleted_yes"
"PT089_P7_E12_S60","PT089_P7_E12_S60","PT089","B6","Exp1","depleted_yes"
"PT089_P7_F02_S62","PT089_P7_F02_S62","PT089","B6","Exp1","depleted_yes"
"PT089_P7_F03_S63","PT089_P7_F03_S63","PT089","B6","Exp1","depleted_yes"
"PT089_P7_F04_S64","PT089_P7_F04_S64","PT089","B6","Exp1","depleted_yes"
"PT089_P7_F05_S65","PT089_P7_F05_S65","PT089","B6","Exp1","depleted_yes"
"PT089_P7_F06_S66","PT089_P7_F06_S66","PT089","B6","Exp1","depleted_yes"
"PT089_P7_F07_S67","PT089_P7_F07_S67","PT089","B6","Exp1","depleted_yes"
"PT089_P7_F08_S68","PT089_P7_F08_S68","PT089","B6","Exp1","depleted_yes"
"PT089_P7_F09_S69","PT089_P7_F09_S69","PT089","B6","Exp1","depleted_yes"
"PT089_P7_F10_S70","PT089_P7_F10_S70","PT089","B6","Exp1","depleted_yes"
"PT089_P7_F11_S71","PT089_P7_F11_S71","PT089","B6","Exp1","depleted_yes"
"PT089_P7_F12_S72","PT089_P7_F12_S72","PT089","B6","Exp1","depleted_yes"
"PT089_P7_G01_S73","PT089_P7_G01_S73","PT089","B6","Exp1","depleted_yes"
"PT089_P7_G02_S74","PT089_P7_G02_S74","PT089","B6","Exp1","depleted_yes"
"PT089_P7_G03_S75","PT089_P7_G03_S75","PT089","B6","Exp1","depleted_yes"
"PT089_P7_G04_S76","PT089_P7_G04_S76","PT089","B6","Exp1","depleted_yes"
"PT089_P7_G05_S77","PT089_P7_G05_S77","PT089","B6","Exp1","depleted_yes"
"PT089_P7_G06_S78","PT089_P7_G06_S78","PT089","B6","Exp1","depleted_yes"
"PT089_P7_G07_S79","PT089_P7_G07_S79","PT089","B6","Exp1","depleted_yes"
"PT089_P7_G08_S80","PT089_P7_G08_S80","PT089","B6","Exp1","depleted_yes"
"PT089_P7_G09_S81","PT089_P7_G09_S81","PT089","B6","Exp1","depleted_yes"
"PT089_P7_G10_S82","PT089_P7_G10_S82","PT089","B6","Exp1","depleted_yes"
"PT089_P7_G11_S83","PT089_P7_G11_S83","PT089","B6","Exp1","depleted_yes"
"PT089_P7_G12_S84","PT089_P7_G12_S84","PT089","B6","Exp1","depleted_yes"
"PT089_P9_A01_S97","PT089_P9_A01_S97","PT089","B6","Exp1","depleted_yes"
"PT089_P9_A02_S98","PT089_P9_A02_S98","PT089","B6","Exp1","depleted_yes"
"PT089_P9_A03_S99","PT089_P9_A03_S99","PT089","B6","Exp1","depleted_yes"
"PT089_P9_A04_S100","PT089_P9_A04_S100","PT089","B6","Exp1","depleted_yes"
"PT089_P9_A05_S101","PT089_P9_A05_S101","PT089","B6","Exp1","depleted_yes"
"PT089_P9_A06_S102","PT089_P9_A06_S102","PT089","B6","Exp1","depleted_yes"
"PT089_P9_A07_S103","PT089_P9_A07_S103","PT089","B6","Exp1","depleted_yes"
"PT089_P9_A08_S104","PT089_P9_A08_S104","PT089","B6","Exp1","depleted_yes"
"PT089_P9_A09_S105","PT089_P9_A09_S105","PT089","B6","Exp1","depleted_yes"
"PT089_P9_A10_S106","PT089_P9_A10_S106","PT089","B6","Exp1","depleted_yes"
"PT089_P9_A11_S107","PT089_P9_A11_S107","PT089","B6","Exp1","depleted_yes"
"PT089_P9_A12_S108","PT089_P9_A12_S108","PT089","B6","Exp1","depleted_yes"
"PT089_P9_B01_S109","PT089_P9_B01_S109","PT089","B6","Exp1","depleted_yes"
"PT089_P9_B02_S110","PT089_P9_B02_S110","PT089","B6","Exp1","depleted_yes"
"PT089_P9_B03_S111","PT089_P9_B03_S111","PT089","B6","Exp1","depleted_yes"
"PT089_P9_B04_S112","PT089_P9_B04_S112","PT089","B6","Exp1","depleted_yes"
"PT089_P9_B05_S113","PT089_P9_B05_S113","PT089","B6","Exp1","depleted_yes"
"PT089_P9_B06_S114","PT089_P9_B06_S114","PT089","B6","Exp1","depleted_yes"
"PT089_P9_B07_S115","PT089_P9_B07_S115","PT089","B6","Exp1","depleted_yes"
"PT089_P9_B08_S116","PT089_P9_B08_S116","PT089","B6","Exp1","depleted_yes"
"PT089_P9_B09_S117","PT089_P9_B09_S117","PT089","B6","Exp1","depleted_yes"
"PT089_P9_B10_S118","PT089_P9_B10_S118","PT089","B6","Exp1","depleted_yes"
"PT089_P9_B11_S119","PT089_P9_B11_S119","PT089","B6","Exp1","depleted_yes"
"PT089_P9_B12_S120","PT089_P9_B12_S120","PT089","B6","Exp1","depleted_yes"
"PT089_P9_C01_S121","PT089_P9_C01_S121","PT089","B6","Exp1","depleted_yes"
"PT089_P9_C02_S122","PT089_P9_C02_S122","PT089","B6","Exp1","depleted_yes"
"PT089_P9_C03_S123","PT089_P9_C03_S123","PT089","B6","Exp1","depleted_yes"
"PT089_P9_C04_S124","PT089_P9_C04_S124","PT089","B6","Exp1","depleted_yes"
"PT089_P9_C05_S125","PT089_P9_C05_S125","PT089","B6","Exp1","depleted_yes"
"PT089_P9_C06_S126","PT089_P9_C06_S126","PT089","B6","Exp1","depleted_yes"
"PT089_P9_C07_S127","PT089_P9_C07_S127","PT089","B6","Exp1","depleted_yes"
"PT089_P9_C08_S128","PT089_P9_C08_S128","PT089","B6","Exp1","depleted_yes"
"PT089_P9_C09_S129","PT089_P9_C09_S129","PT089","B6","Exp1","depleted_yes"
"PT089_P9_C10_S130","PT089_P9_C10_S130","PT089","B6","Exp1","depleted_yes"
"PT089_P9_C11_S131","PT089_P9_C11_S131","PT089","B6","Exp1","depleted_yes"
"PT089_P9_C12_S132","PT089_P9_C12_S132","PT089","B6","Exp1","depleted_yes"
"PT089_P9_D01_S133","PT089_P9_D01_S133","PT089","B6","Exp1","depleted_yes"
"PT089_P9_D02_S134","PT089_P9_D02_S134","PT089","B6","Exp1","depleted_yes"
"PT089_P9_D03_S135","PT089_P9_D03_S135","PT089","B6","Exp1","depleted_yes"
"PT089_P9_D04_S136","PT089_P9_D04_S136","PT089","B6","Exp1","depleted_yes"
"PT089_P9_D05_S137","PT089_P9_D05_S137","PT089","B6","Exp1","depleted_yes"
"PT089_P9_D06_S138","PT089_P9_D06_S138","PT089","B6","Exp1","depleted_yes"
"PT089_P9_D07_S139","PT089_P9_D07_S139","PT089","B6","Exp1","depleted_yes"
"PT089_P9_D08_S140","PT089_P9_D08_S140","PT089","B6","Exp1","depleted_yes"
"PT089_P9_D09_S141","PT089_P9_D09_S141","PT089","B6","Exp1","depleted_yes"
"PT089_P9_D10_S142","PT089_P9_D10_S142","PT089","B6","Exp1","depleted_yes"
"PT089_P9_D11_S143","PT089_P9_D11_S143","PT089","B6","Exp1","depleted_yes"
"PT089_P9_D12_S144","PT089_P9_D12_S144","PT089","B6","Exp1","depleted_yes"
"PT089_P9_E01_S145","PT089_P9_E01_S145","PT089","B6","Exp1","depleted_yes"
"PT089_P9_E02_S146","PT089_P9_E02_S146","PT089","B6","Exp1","depleted_yes"
"PT089_P9_E03_S147","PT089_P9_E03_S147","PT089","B6","Exp1","depleted_yes"
"PT089_P9_E04_S148","PT089_P9_E04_S148","PT089","B6","Exp1","depleted_yes"
"PT089_P9_E05_S149","PT089_P9_E05_S149","PT089","B6","Exp1","depleted_yes"
"PT089_P9_E06_S150","PT089_P9_E06_S150","PT089","B6","Exp1","depleted_yes"
"PT089_P9_E07_S151","PT089_P9_E07_S151","PT089","B6","Exp1","depleted_yes"
"PT089_P9_E08_S152","PT089_P9_E08_S152","PT089","B6","Exp1","depleted_yes"
"PT089_P9_E09_S153","PT089_P9_E09_S153","PT089","B6","Exp1","depleted_yes"
"PT089_P9_E10_S154","PT089_P9_E10_S154","PT089","B6","Exp1","depleted_yes"
"PT089_P9_E11_S155","PT089_P9_E11_S155","PT089","B6","Exp1","depleted_yes"
"PT089_P9_E12_S156","PT089_P9_E12_S156","PT089","B6","Exp1","depleted_yes"
"PT089_P9_F01_S157","PT089_P9_F01_S157","PT089","B6","Exp1","depleted_yes"
"PT089_P9_F02_S158","PT089_P9_F02_S158","PT089","B6","Exp1","depleted_yes"
"PT089_P9_F03_S159","PT089_P9_F03_S159","PT089","B6","Exp1","depleted_yes"
"PT089_P9_F04_S160","PT089_P9_F04_S160","PT089","B6","Exp1","depleted_yes"
"PT089_P9_F05_S161","PT089_P9_F05_S161","PT089","B6","Exp1","depleted_yes"
"PT089_P9_F06_S162","PT089_P9_F06_S162","PT089","B6","Exp1","depleted_yes"
"PT089_P9_F07_S163","PT089_P9_F07_S163","PT089","B6","Exp1","depleted_yes"
"PT089_P9_F08_S164","PT089_P9_F08_S164","PT089","B6","Exp1","depleted_yes"
"PT089_P9_F09_S165","PT089_P9_F09_S165","PT089","B6","Exp1","depleted_yes"
"PT089_P9_F11_S167","PT089_P9_F11_S167","PT089","B6","Exp1","depleted_yes"
"PT089_P9_G01_S169","PT089_P9_G01_S169","PT089","B6","Exp1","depleted_yes"
"PT089_P9_G02_S170","PT089_P9_G02_S170","PT089","B6","Exp1","depleted_yes"
"PT089_P9_G03_S171","PT089_P9_G03_S171","PT089","B6","Exp1","depleted_yes"
"PT089_P9_G04_S172","PT089_P9_G04_S172","PT089","B6","Exp1","depleted_yes"
"PT089_P9_G05_S173","PT089_P9_G05_S173","PT089","B6","Exp1","depleted_yes"
"PT089_P9_G06_S174","PT089_P9_G06_S174","PT089","B6","Exp1","depleted_yes"
"PT089_P9_G07_S175","PT089_P9_G07_S175","PT089","B6","Exp1","depleted_yes"
"PT089_P9_G08_S176","PT089_P9_G08_S176","PT089","B6","Exp1","depleted_yes"
"PT089_P9_G09_S177","PT089_P9_G09_S177","PT089","B6","Exp1","depleted_yes"
"PT089_P9_G10_S178","PT089_P9_G10_S178","PT089","B6","Exp1","depleted_yes"
"PT089_P9_G11_S179","PT089_P9_G11_S179","PT089","B6","Exp1","depleted_yes"
"PT089_P9_G12_S180","PT089_P9_G12_S180","PT089","B6","Exp1","depleted_yes"
"PT089_P9_H01_S181","PT089_P9_H01_S181","PT089","B6","Exp1","depleted_yes"
"PT089_P9_H02_S182","PT089_P9_H02_S182","PT089","B6","Exp1","depleted_yes"
"PT089_P9_H03_S183","PT089_P9_H03_S183","PT089","B6","Exp1","depleted_yes"
"PT089_P9_H04_S184","PT089_P9_H04_S184","PT089","B6","Exp1","depleted_yes"
"PT089_P9_H05_S185","PT089_P9_H05_S185","PT089","B6","Exp1","depleted_yes"
