"Species","Tissue","Cell Type","Cancer","Cell Marker","Source","Supported Sources","Details"
"Human","Blood vessel","Endothelial cell","Normal","CD31","Experiment","8","more details"
"Human","Blood vessel","Stem cell","Normal","Nestin","Experiment","6","more details"
"Human","Serum","Macrophage","Normal","CD68","Experiment","6","more details"
"Human","Blood","Basophil","Normal","CD63","Experiment","5","more details"
"Human","Blood","Memory B cell","Normal","CD27","Experiment","3","more details"
"Human","Blood","T cell","Normal","CD3","Experiment","3","more details"
"Human","Peripheral blood","Basophil","Normal","CD203c","Experiment","3","more details"
"Mouse","Serum","Macrophage","Normal","F4/80","Experiment","3","more details"
"Human","Blood vessel","Endothelial cell","Normal","CD31, CD34","Experiment","2","more details"
"Human","Blood","Cancer stem cell","Breast Cancer","CD44","Experiment","2","more details"
"Human","Blood","Cancer stem cell","Gastric Cancer","CD44","Experiment","2","more details"
"Human","Blood","B cell","Normal","CD19","Experiment","2","more details"
"Human","Blood","Basophil","Normal","CD203c, CD63","Experiment","2","more details"
"Human","Blood","Dendritic cell","Normal","CD83","Experiment","2","more details"
"Human","Blood","Memory B cell","Normal","CD19, CD27","Experiment","2","more details"
"Human","Blood","Monocyte","Normal","CD14","Experiment","2","more details"
"Human","Blood","Neutrophil","Normal","CD66b","Experiment","2","more details"
"Human","Blood","White blood cell","Normal","CD45","Experiment","2","more details"
"Human","Peripheral blood","Cancer cell","Melanoma (circulating)","ABCB5, CD271, MCAM, MCSP","Experiment","2","more details"
"Human","Peripheral blood","B cell","Normal","CD19","Experiment","2","more details"
"Human","Peripheral blood","Basophil","Normal","CD203c, CD63","Experiment","2","more details"
"Human","Peripheral blood","Basophil","Normal","CD63","Experiment","2","more details"
"Human","Peripheral blood","CD4+ T cell","Normal","CD4","Experiment","2","more details"
"Human","Peripheral blood","Endothelial progenitor cell","Normal","CD133, KDR","Experiment","2","more details"
"Human","Peripheral blood","Leukocyte","Normal","CD45","Experiment","2","more details"
"Human","Peripheral blood","Monocyte","Normal","CD14","Experiment","2","more details"
"Human","Peripheral blood","Natural killer cell","Normal","CD56","Experiment","2","more details"
"Human","Peripheral blood","Non-switched memory B cell","Normal","CD19, CD27, IgD","Experiment","2","more details"
"Human","Peripheral blood","Regulatory T (Treg) cell","Normal","CD39","Experiment","2","more details"
"Human","Serum","Macrophage","Normal","CD11b","Experiment","2","more details"
"Human","Serum","Macrophage","Normal","F4/80","Experiment","2","more details"
"Mouse","Peripheral blood","B cell","Normal","CD19","Experiment","2","more details"
"Human","Antecubital vein","Endothelial cell","Normal","CD105, CD11b, CD146, CD34, CD45","Experiment","1","more details"
"Human","Blood vessel","Stem cell","Brain Cancer","CD133, Nestin","Experiment","1","more details"
"Human","Blood vessel","Endothelial cell","Glioma","CD31, VEGF","Experiment","1","more details"
"Human","Blood vessel","Endothelial cell","Normal","CD102, CD31, TIE-1, TIE-2, VEGF","Experiment","1","more details"
"Human","Blood vessel","Endothelial cell","Normal","CD105, VEGFR","Experiment","1","more details"
"Human","Blood vessel","Endothelial cell","Normal","CD105","Experiment","1","more details"
"Human","Blood vessel","Endothelial cell","Normal","CD31, CD34, CD39, VEGFR-2","Experiment","1","more details"
"Human","Blood vessel","Endothelial cell","Normal","CD34","Experiment","1","more details"
"Human","Blood vessel","Endothelial cell","Normal","Endoglin, VE-Cadherin","Experiment","1","more details"
"Human","Blood vessel","Endothelial progenitor cell","Normal","CD133, CD34","Experiment","1","more details"
"Human","Blood vessel","Mesenchymal stromal cell","Normal","CD90","Experiment","1","more details"
"Human","Blood vessel","Smooth muscle cell","Normal","ACTA2","Experiment","1","more details"
"Human","Blood vessel","Stem cell","Normal","C-Kit, CD30, OCT4, PLAP","Experiment","1","more details"
"Human","Blood vessel","Stem cell","Normal","CD31, CD71, CD90, Nestin","Experiment","1","more details"
"Human","Blood vessel","Stem cell","Normal","CD34","Experiment","1","more details"
"Human","Blood vessel","Stem cell","Normal","OCT4, SOX2","Experiment","1","more details"
"Human","Blood vessel","Endothelial cell","Pancreatic Cancer","CD31","Experiment","1","more details"
"Human","Blood","Cancer stem cell","Acute Myelogenous Leukemia","N-cadherin, TIE-2","Experiment","1","more details"
"Human","Blood","Cancer cell","Breast Cancer (circulating)","CD24, CD44, CD45, EpCAM, Integrin beta-1, uPAR","Experiment","1","more details"
"Human","Blood","Cancer cell","Breast Cancer (circulating)","EpCAM, HER2, PSA","Experiment","1","more details"
"Human","Blood","Cytokine induced killer cell","Breast Cancer","CD3, CD56","Experiment","1","more details"
"Human","Blood","Epithelial cell","Breast Cancer","Cytokeratin-19","Experiment","1","more details"
"Human","Blood","Regulatory T (Treg) cell","Breast Cancer","CD25, CD4","Experiment","1","more details"
"Human","Blood","Cancer cell","Chronic Lymphocytic Leukemia","CD20","Experiment","1","more details"
"Human","Blood","Basophil","Chronic Myeloid Leukemia","BSP1","Experiment","1","more details"
"Human","Blood","Cytokine induced killer cell","Colon Cancer","CD3, CD56","Experiment","1","more details"
"Human","Blood","Regulatory T (Treg) cell","Colon Cancer","CD25, CD4","Experiment","1","more details"
"Human","Blood","Cancer stem cell","Colorectal Cancer","DCLK1","Experiment","1","more details"
"Human","Blood","Cancer cell","Gastric Cancer (circulating)","EpCAM","Experiment","1","more details"
"Human","Blood","Cancer stem cell","Glioblastoma","c-Myc, CD133, Nestin","Experiment","1","more details"
"Human","Blood","Cancer stem cell","Head And Neck Squamous Cell Carcinoma","CD44","Experiment","1","more details"
"Human","Blood","Myeloid-derived suppressor cell","Hepatocellular Cancer","CD11b, CD33","Experiment","1","more details"
"Human","Blood","Cancer stem cell","Liver Cancer","EpCAM","Experiment","1","more details"
"Human","Blood","Cytokine induced killer cell","Lung Cancer","CD3, CD56","Experiment","1","more details"
"Human","Blood","Regulatory T (Treg) cell","Lung Cancer","CD25, CD4","Experiment","1","more details"
"Human","Blood","Cytokine induced killer cell","Lymphoma","CD3, CD56","Experiment","1","more details"
"Human","Blood","Regulatory T (Treg) cell","Lymphoma","CD25, CD4","Experiment","1","more details"
"Human","Blood","Cancer cell","Melanoma (circulating)","HLA-ABC","Experiment","1","more details"
"Human","Blood","Cancer stem cell","Melanoma","CD133","Experiment","1","more details"
"Human","Blood","Cancer cell","Non-small Cell Lung Cancer (circulating)","CK18","Experiment","1","more details"
"Human","Blood","Activated CD4+ T cell","Normal","CCR6, CD14, CD19, CD38, CD4, CD45RA, CD45RO, CD69, CXCR3","Experiment","1","more details"
"Human","Blood","Activated CD4+ T cell","Normal","CD25, CD29, CD4, CD71","Experiment","1","more details"
"Human","Blood","Angiogenic T cell","Normal","CD3, CD31, CXCR4","Experiment","1","more details"
"Human","Blood","B cell","Normal","AID, CD10, CD257, CD28, CD38, CD71, CD86","Experiment","1","more details"
"Human","Blood","B cell","Normal","CD20","Experiment","1","more details"
"Human","Blood","B cell","Normal","FMC7","Experiment","1","more details"
"Human","Blood","Basophil","Normal","CCR3, CD123","Experiment","1","more details"
"Human","Blood","Basophil","Normal","CCR3","Experiment","1","more details"
"Human","Blood","Basophil","Normal","CD123","Experiment","1","more details"
"Human","Blood","Basophil","Normal","CD19, CD22","Experiment","1","more details"
"Human","Blood","Basophil","Normal","CD203c","Experiment","1","more details"
"Human","Blood","Basophil","Normal","HLA-DR","Experiment","1","more details"
"Human","Blood","CD14+ endothelial progenitor cell","Normal","CD14, KDR","Experiment","1","more details"
"Human","Blood","CD14++CD16- monocyte","Normal","CD14, CD16","Experiment","1","more details"
"Human","Blood","CD14+CD16+ monocyte","Normal","CD14, CD16","Experiment","1","more details"
"Human","Blood","CD4+ T cell","Normal","CCR6","Experiment","1","more details"
"Human","Blood","CD8+ T cell","Normal","CD3, CD8","Experiment","1","more details"
"Human","Blood","CD8+ T cell","Normal","CD30","Experiment","1","more details"
"Human","Blood","CD8+ T cell","Normal","CD56, CD8","Experiment","1","more details"
"Human","Blood","Circulating fetal cell","Normal","ACTB, ATF4, CD33, CD68, CD9, CDC42_1, CLDN6, COL1A2, CRABP1, CRIP1, CRYL1, CTNNB1, DLX5, EN1, F11R, FIGD, FOXA2, GATA5, HAMP, HMGA1, IL7R, JUN, JUNB, KCNQ4, MCAM, MMP9, NCAM1, OLIG2, PBLD, PDGFC, PF4, PUM2, SELE, SELPLG, SMAD3, SMC3, SOX13, TCF3, TNC","Experiment","1","more details"
"Human","Blood","Circulating fetal cell","Normal","CLDN6, F3, KCNQ4, MCAM, MMP14","Experiment","1","more details"
"Human","Blood","Circulating progenitor cell","Normal","ALDH, CD133, CD34","Experiment","1","more details"
"Human","Blood","Classical monocyte","Normal","CD14, CD16","Experiment","1","more details"
"Human","Blood","Decidual cell","Normal","DEC1","Experiment","1","more details"
"Human","Blood","Dendritic cell","Normal","CLEC9A","Experiment","1","more details"
"Human","Blood","Early hematopoietic cell","Normal","AC133","Experiment","1","more details"
"Human","Blood","Effector CD4+ memory T (Tem) cell","Normal","CCR7, CD45RA","Experiment","1","more details"
"Human","Blood","Endothelial cell","Normal","CD146, CD45","Experiment","1","more details"
"Human","Blood","Endothelial cell","Normal","Raftlin","Experiment","1","more details"
"Human","Blood","Endothelial progenitor cell","Normal","CD133, CD34, CD45","Experiment","1","more details"
"Human","Blood","Endothelial progenitor cell","Normal","CD133, CD34, EGFR2","Experiment","1","more details"
"Human","Blood","Endothelial progenitor cell","Normal","CD133, CD34, KDR","Experiment","1","more details"
"Human","Blood","Endothelial progenitor cell","Normal","CD34, CD45, KDR","Experiment","1","more details"
"Human","Blood","Eosinophil","Normal","CD114, CD116, CD123, CD124, CD125, CD126","Experiment","1","more details"
"Human","Blood","Eosinophil","Normal","CD11b, CD44, CD48, CD54, CD69, CD81, HLA-DR","Experiment","1","more details"
"Human","Blood","Eosinophil","Normal","CD25, CD44, CD66e, IL-3 receptor alpha subunit","Experiment","1","more details"
"Human","Blood","Erythroblast","Normal","CD71","Experiment","1","more details"
"Human","Blood","FOXP3+ natural regulatory T (Treg) cell","Normal","CD25, CD6, CD4","Experiment","1","more details"
"Human","Blood","Granulocyte","Normal","CD66b","Experiment","1","more details"
"Human","Blood","Immature transitional B cell","Normal","CD19, CD24, CD38","Experiment","1","more details"
"Human","Blood","Intermediate monocyte","Normal","CD14, CD16","Experiment","1","more details"
"Human","Blood","Leukocyte","Normal","CD16, CD20, CD3, CD38, CD45","Experiment","1","more details"
"Human","Blood","Leukocyte","Normal","CD42b","Experiment","1","more details"
"Human","Blood","Leukocyte","Normal","CD45","Experiment","1","more details"
"Human","Blood","Lymphocyte","Normal","Annexin V, CX3CR1","Experiment","1","more details"
"Human","Blood","Lymphoid cell","Normal","CD56, Granzyme B, TIA1","Experiment","1","more details"
"Human","Blood","Mature endothelial cell","Normal","CD34","Experiment","1","more details"
"Human","Blood","Monocyte","Normal","CD14, CD162, CD242, CD244, COX2, Myeloperoxidase","Experiment","1","more details"
"Human","Blood","Monocyte","Normal","CD163","Experiment","1","more details"
"Human","Blood","Monocyte","Normal","CR3, HLA-DR","Experiment","1","more details"
"Human","Blood","Monocyte","Normal","EMMPRIN","Experiment","1","more details"
"Human","Blood","Myeloid dendritic cell","Normal","BDCA1, CD11c","Experiment","1","more details"
"Human","Blood","Naive B cell","Normal","CD19, CD24, CD38","Experiment","1","more details"
"Human","Blood","Naive B cell","Normal","CD27, IgD","Experiment","1","more details"
"Human","Blood","Naive CD4+ T cell","Normal","CD4, CD45RA, CD62L","Experiment","1","more details"
"Human","Blood","Natural killer cell","Normal","CD11b, CD16, CD19, CD2, CD3, CD56, CD94, NKG2A","Experiment","1","more details"
"Human","Blood","Natural killer cell","Normal","CD16, CD56","Experiment","1","more details"
"Human","Blood","Natural killer cell","Normal","CD3, CD56","Experiment","1","more details"
"Human","Blood","Natural killer cell","Normal","CD94","Experiment","1","more details"
"Human","Blood","Natural regulatory T (Treg) cell","Normal","CD6","Experiment","1","more details"
"Human","Blood","Neutrophil","Normal","CD11b, CD16, CD66b","Experiment","1","more details"
"Human","Blood","Neutrophil","Normal","CD11b","Experiment","1","more details"
"Human","Blood","Neutrophil","Normal","NGAL","Experiment","1","more details"
"Human","Blood","Non-classical monocyte","Normal","CD14, CD16","Experiment","1","more details"
"Human","Blood","Non-switched B cell","Normal","CD27, IgD","Experiment","1","more details"
"Human","Blood","Null cell","Normal","N-MICG","Experiment","1","more details"
"Human","Blood","Plasmablast","Normal","CD38, IgM","Experiment","1","more details"
"Human","Blood","Plasmacytoid dendritic cell","Normal","BDCA2, CD123","Experiment","1","more details"
"Human","Blood","Plasmacytoid dendritic cell","Normal","NRP1","Experiment","1","more details"
"Human","Blood","Platelet","Normal","CD14","Experiment","1","more details"
"Human","Blood","Platelet","Normal","CD154, CD41, CD61, CD62P","Experiment","1","more details"
"Human","Blood","Progenitor-like angiogenesis-promoting cell","Normal","CD34","Experiment","1","more details"
"Human","Blood","Regulatory T (Treg) cell","Normal","CD127, CD49d","Experiment","1","more details"
"Human","Blood","Regulatory T (Treg) cell","Normal","GARP","Experiment","1","more details"
"Human","Blood","Regulatory T (Treg) cell","Normal","GITR","Experiment","1","more details"
"Human","Blood","Responder T cell","Normal","CD25, CD4, GARP","Experiment","1","more details"
"Human","Blood","Switched memory B cell","Normal","CD27, IgD","Experiment","1","more details"
"Human","Blood","T cell","Normal","CD3, CD8","Experiment","1","more details"
"Human","Blood","T cell","Normal","T-MICG","Experiment","1","more details"
"Human","Blood","T cell","Normal","UCHL1","Experiment","1","more details"
"Human","Blood","T helper cell","Normal","CD42b","Experiment","1","more details"
"Human","Blood","Thymic emigrant cell","Normal","CD31, CD45RA, CD62L","Experiment","1","more details"
"Human","Blood","Transitional B cell","Normal","CD24, CD38","Experiment","1","more details"
"Human","Blood","Vascular progenitor cell","Normal","CD117, Ki67","Experiment","1","more details"
"Human","Blood","Vascular stem cell","Normal","CD117, Ki67","Experiment","1","more details"
"Human","Blood","Cytotoxic T cell","Oesophageal Cancer","CD11b, CD8","Experiment","1","more details"
"Human","Blood","T helper cell","Oesophageal Cancer","CD4, Leu8","Experiment","1","more details"
"Human","Blood","Cancer cell","Prostate Cancer (circulating)","CDH1, EpCAM, Keratins, MUC1","Experiment","1","more details"
"Human","Blood","Cancer cell","Prostate Cancer (circulating)","EPCAM, FOLH1, KLK3, KRT8, KRT18, KRT19","Experiment","1","more details"
"Human","Blood","Cancer cell","Prostate Cancer (circulating)","EpCAM, HER2, PSA","Experiment","1","more details"
"Human","Blood","Cancer cell","Prostate Cancer","PSMA","Experiment","1","more details"
"Human","Blood","Cancer stem cell","Prostate Cancer","CD133","Experiment","1","more details"
"Human","Bone marrow","Red blood cell (erythrocyte)","Normal","ALDH","Experiment","1","more details"
"Human","Peripheral blood","Myeloid stem cell","Acute Myeloid Leukemia","human myeloid inhibitory C-lectin","Experiment","1","more details"
"Human","Peripheral blood","Cancer stem cell","Gastric Cancer","EpCAM","Experiment","1","more details"
"Human","Peripheral blood","Endothelial cell","Gastric Cancer","CD133, CD31, CD34, CD45","Experiment","1","more details"
"Human","Peripheral blood","Endothelial progenitor cell","Gastric Cancer","CD133, CD31, CD34, CD45","Experiment","1","more details"
"Human","Peripheral blood","Cancer stem cell","Leukemia","IL1RAP","Experiment","1","more details"
"Human","Peripheral blood","Abnormal plasma cell","Multiple Myeloma","CD138, CD38, CD56","Experiment","1","more details"
"Human","Peripheral blood","Plasma cell","Multiple Myeloma","CD138, CD19, CD38","Experiment","1","more details"
"Human","Peripheral blood","Plasma cell","Multiple Myeloma","CD19, CD38","Experiment","1","more details"
"Human","Peripheral blood","Plasma cell","Multiple Myeloma","CD38","Experiment","1","more details"
"Human","Peripheral blood","T cell","Non-small Cell Lung Cancer","CD3","Experiment","1","more details"
"Human","Peripheral blood","Activated B cell","Normal","CD5","Experiment","1","more details"
"Human","Peripheral blood","Activated B cell","Normal","TAGLN2","Experiment","1","more details"
"Human","Peripheral blood","B cell","Normal","CD19, CD20, CD21, CD24, CD27, CD38, CD45, CD5, IgD, IgM","Experiment","1","more details"
"Human","Peripheral blood","B cell","Normal","CD19, CD27, CD38, CD45, IgD, ZAP70","Experiment","1","more details"
"Human","Peripheral blood","B cell","Normal","CD19, CD27, IgM","Experiment","1","more details"
"Human","Peripheral blood","B cell","Normal","CD74","Experiment","1","more details"
"Human","Peripheral blood","B cell","Normal","Leu-12","Experiment","1","more details"
"Human","Peripheral blood","Basophil","Normal","CD203c, CD63, CD69","Experiment","1","more details"
"Human","Peripheral blood","CD16+ dendritic cell","Normal","CD11b, CD11c, CD123, CD14, CD15, CD16, CD33, CD66b, HLA-DR","Experiment","1","more details"
"Human","Peripheral blood","CD4-CD28- T cell","Normal","BCL2, CD18, CD25, CD30, CD45RA, CD57, CD95, Perforin","Experiment","1","more details"
"Human","Peripheral blood","CD4-CD28+ T cell","Normal","BCL2, CD18, CD25, CD30, CD45RA, CD57, CD95, Perforin","Experiment","1","more details"
"Human","Peripheral blood","CD4+ T cell","Normal","CD4, LTB","Experiment","1","more details"
"Human","Peripheral blood","CD4+ T cell","Normal","GLUT1","Experiment","1","more details"
"Human","Peripheral blood","CD8+ T cell","Normal","CD3D, CD8, NKG7","Experiment","1","more details"
"Human","Peripheral blood","Central memory T cell","Normal","CD27, CD4, CD45RA, CD62L, CD8","Experiment","1","more details"
"Human","Peripheral blood","Circulating fetal cell","Normal","CD71","Experiment","1","more details"
"Human","Peripheral blood","Circulating precursor cell","Normal","CD133, CD34, CD45","Experiment","1","more details"
"Human","Peripheral blood","Circulating progenitor cell","Normal","ALDH, CD133, CD14, CD146, CD34","Experiment","1","more details"
"Human","Peripheral blood","Class-switched memory B cell","Normal","CD19, CD27, IgD","Experiment","1","more details"
"Human","Peripheral blood","Classical monocyte","Normal","CD11b, CD11c, CD123, CD14, CD15, CD16, CD33, CD66b, HLA-DR","Experiment","1","more details"
"Human","Peripheral blood","Cytotoxic T cell","Normal","CD11b, CD8","Experiment","1","more details"
"Human","Peripheral blood","Cytotoxic T cell","Normal","Leu-2a","Experiment","1","more details"
"Human","Peripheral blood","Dendritic cell","Normal","CD11c","Experiment","1","more details"
"Human","Peripheral blood","Dendritic cell","Normal","CD80, CD86","Experiment","1","more details"
"Human","Peripheral blood","Dendritic cell","Normal","CD83, CD86, MHC class II","Experiment","1","more details"
"Human","Peripheral blood","Dendritic cell","Normal","CD83","Experiment","1","more details"
"Human","Peripheral blood","Double-negative B cell","Normal","CD19, CD27, IgD","Experiment","1","more details"
"Human","Peripheral blood","Double-negative memory B cell","Normal","CD19, CD27, IgD","Experiment","1","more details"
"Human","Peripheral blood","Effector memory T cell","Normal","CD27, CD4, CD45RA, CD62L, CD8","Experiment","1","more details"
"Human","Peripheral blood","Effector T cell","Normal","CD27, CD4, CD45RA, CD62L, CD8","Experiment","1","more details"
"Human","Peripheral blood","Endothelial cell","Normal","CD133, CD144, CD34, CD45","Experiment","1","more details"
"Human","Peripheral blood","Endothelial precursor cell","Normal","CD31, KDR","Experiment","1","more details"
"Human","Peripheral blood","Endothelial progenitor cell","Normal","CD133, CD34, VEGFR-2","Experiment","1","more details"
"Human","Peripheral blood","Endothelial progenitor cell","Normal","CD34, CD45, VEGFR-2","Experiment","1","more details"
"Human","Peripheral blood","Eosinophil","Normal","CD11b, CD11c, CD123, CD14, CD15, CD16, CD33, CD66b, HLA-DR","Experiment","1","more details"
"Human","Peripheral blood","Eosinophil","Normal","CD11b, CD69, IL-13, IL-4, IL-5, IL-8","Experiment","1","more details"
"Human","Peripheral blood","Eosinophil","Normal","IL-3R-alpha, IL-5R-alpha","Experiment","1","more details"
"Human","Peripheral blood","Granulocyte","Normal","CCR3, CD14, CD15, CD16, CD203c, CD44, CD45, CD49d, CD63, CD66b","Experiment","1","more details"
"Human","Peripheral blood","Granulocyte","Normal","CD11b, CD11c, CD123, CD14, CD15, CD16, CD33, CD66b, HLA-DR","Experiment","1","more details"
"Human","Peripheral blood","Granulocyte","Normal","CD15","Experiment","1","more details"
"Human","Peripheral blood","Hematopoietic stem cell","Normal","CD34","Experiment","1","more details"
"Human","Peripheral blood","IL-17Ralpha T cell","Normal","CD127, CD3","Experiment","1","more details"
"Human","Peripheral blood","Immature myeloid cell","Normal","CD11b, CD11c, CD123, CD14, CD15, CD16, CD33, CD66b, HLA-DR","Experiment","1","more details"
"Human","Peripheral blood","Induced regulatory T (Treg) cell","Normal","CD127, CD25, CD4, FOXP3","Experiment","1","more details"
"Human","Peripheral blood","Intermediate monocyte","Normal","CD11b, CD11c, CD123, CD14, CD15, CD16, CD33, CD66b, HLA-DR","Experiment","1","more details"
"Human","Peripheral blood","Large granular lymphocyte","Normal","HNK1","Experiment","1","more details"
"Human","Peripheral blood","Leukocyte","Normal","Ly-9","Experiment","1","more details"
"Human","Peripheral blood","Lymphocyte","Normal","SIG","Experiment","1","more details"
"Human","Peripheral blood","Lymphoid cell","Normal","CD19","Experiment","1","more details"
