"Species","Tissue","Cell Type","Cancer","Cell Marker","Source","Supported Sources","Details"
"Human","Peripheral blood","Naive CD8+ T cell","Normal","ABLIM1, ACTN1, AIF1, APBA2, APEX1, ARHGAP45, ARHGEF18, ATM, BACH2, BEX4, C1orf162, C1orf228, C6orf48, CA6, CAMK4, CCR7, CD248, CD55, CEP68, COQ8A, DGKA, EEF2, EIF3E, EIF3L, EPHX2, EXOSC8, FAM102A, FAM117B, FAM60A, FKBP5, FOXP1, GAS5, GCSAM, GIMAP2, GLTSCR2, GPR155, GPR183, IGF1R, ITFG2, LDHB, LDLRAP1, LEF1, LEF1-AS1, LINC01550, LMO7, LRRC75A, LRRC75A-AS1, LRRN3, MAL, MAML2, MLXIP, MYC, NDFIP1, NELL2, NOG, NOSIP, NPAT, NPM1, NT5E, OXNAD1, PASK, PDE3B, PDK1, PIK3IP1, PLEKHB1, PRKCQ-AS1, PSIP1, R3HDM4, RACK1, RASGRP2, RCAN3, RIC3, RPS8, SCML4, SELL, SERINC5, SGSM3, SH3YL1, SMAP2, SNED1, SNURF, SPINT2, SPTBN1, STMN3, TCF7, THAP7, THEM4, TMEM123, TMEM204, TMEM63A, TNFSF8, TOMM7, TPCN1, TRABD2A, TRAP1, TRMT1, TXK, UBQLN2, VIPR1, WDR43, ZNF101","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Naive T cell","Normal","CCR7, CD27, CD8A, CD8B","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Natural killer cell","Normal","CCL3, CD160, CD247, GNLY, GZMB, NKG7","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Natural killer cell","Normal","FCGR3A, FCGR3B, KLRB1, KLRB1, KLRC1, KLRD1, KLRF1, KLRK1, NCAM1","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Natural killer T (NKT) cell","Normal","CD8A, CD8B, ZNF683","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Plasmacytoid dendritic cell","Normal","CD123, GZMB","Single-cell sequencing","1","more details"
"Human","Peripheral blood","pro-Natural killer cell (pro-NK cell)","Normal","ID2","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Regulatory T (Treg) cell","Normal","ANXA2P2, ATP2B1, B3GNT2, BIRC3, CASP2, CCDC141, CCM2, CCR10, CCR4, CCR8, CLDND1, CORO7, CORO7-PAM16, CPNE2, ELK3, F5, FAM110A, FANK1, FCMR, FCRL3, FOXP3, GLRX, HAPLN3, HPGD, IKZF2, IL10RA, IL2RA, ISG20, LMNA, METTL7A, PDP1, PI16, REREP3, RNF214, RTKN2, SAMHD1, SELPLG, SNX20, STAM, TBC1D4, TLDC2, TRIM16, TTC39C, TTN, USP15","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Regulatory T (Treg) cell","Normal","CCR10, CD25, CD52, CMTM7, FOXP3","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Regulatory T (Treg) cell","Normal","CD4, CTLA4, FOXP3, IL2RA","Single-cell sequencing","1","more details"
"Human","Peripheral blood","T cell","Normal","CD27, CD28, CD3D, CD3E, CD3G","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Cancer cell","Ovarian Cancer","EpCAM, MCAM, WFDC2","Single-cell sequencing","1","more details"
"Human","Placenta","Red blood cell (erythrocyte)","Normal","ALAS2, HBA1, HBB, HBG1","Single-cell sequencing","1","more details"
"Human","Umbilical cord blood","Granulocyte-monocyte progenitor","Normal","ADK, ALDH4A1, ANXA1, AP3S1, APLP2, APPL1, AREG, ASPM, B3GALNT1, BTF3L4, CALCOCO2, CALR, CASQ1, CCDC181, CCNE2, CD38, CD96, CDKN3, CLEC12A, CLSPN, COMMD5, CP, CPA3, CRNDE, CSF3R, CST7, CSTA, CTSG, DEPDC7, ELANE, EPX, ERAP2, F13A1, FAM129A, FAM45A, FAM96A, FCGR2A, FNDC3B, GAPDHP42, GCNT1, HAL, HGF, HTATSF1, IFNAR2, IGFBP7, IGLL1, IL1RAP, KBTBD11, KCNE3, KIAA0101, LDHA, LGALS1, LRPPRC, M1AP, MAMDC2, MAP3K8, MCM10, MCM4, MCM6, METTL7B, MGST1, MPO, MS4A2, MS4A3, MTND4P15, MUC1, MYBL2, NOG, NPM1P37, NQO1, NUCB2, NUF2, PDE3B, PEG3, PIFO, PLD1, PLEK, PRTN3, PTPN14, PTPRE, PYGL, RAB3D, RAB44, RAD51AP1, RETSAT, RMI2, RNASE2, RNASE3, SDC4, SELL, SERPINB1, SHCBP1, SKA3, SMIM24, SPON2, SUCNR1, TCF19, TLR4, TM7SF3, TNFSF13B, TPPP3, TPSAB1, TPSB2, TPSD1, TRGC1, TRGC2, TTK, TYMSOS, UBE2J1, UBTD2, UHRF1, USP13, VDAC1, VIM, VMP1, VPREB1, ZFP37, ZNF714","Single-cell sequencing","1","more details"
"Human","Umbilical cord blood","Lymphoid-primed multipotent progenitor cell","Normal","ADAM19, ALOX15B, ANKRD44, ARFGAP1, ASPRV1, B3GAT2, BNIP3P11, C20orf197, CACNB4, CAPSL, CCDC168, CD34, CD47, CDK9, CLIP3, COBL, COL6A3, CRAT, CXorf23, CYTIP, DPYSL3, EBF1, EDC4, ETS1, FAM210B, FCRL3, FGD6, GAS7, GRAMD1B, GRB2, HERC4, ITPK1-AS1, KCTD9, KIAA1147, KLHL6, KLKB1, LAT2, LCAT, LDB2, LINC01059, LINC01125, LINC01359, LY6G5C, MMP28, MTUS1, MYO1G, NKAIN2, NPL, OAS2, OXR1, PADI4, PDE1A, PLAGL2, PLCXD2, PPP2R3B, PRAME, PROB1, PROM1, PROX2, PSPN, PTGDR2, PWRN1, QPRT, RNF103, RNF213, RNPEPL1, RPGRIP1L, RPL7P52, S100A8, SGMS1-AS1, SIGLEC17P, SLC22A17, SNX10, SSC4D, ST3GAL5, STK32B, STXBP5L, TARBP1, TRBV29-1, TREML1, TRPM2, USP2, VPS54, ZFP36L2, ZKSCAN8, ZNF367, ZSWIM1","Single-cell sequencing","1","more details"
"Human","Umbilical cord blood","Multilymphoid progenitor cell","Normal","AARS2, AARSD1, ABCA7, ABCA9, ABCG2, ACAP1, ACIN1, ACRC, ADAMTS6, ADAP1, ADGRE1, ADGRL1, AES, AFF1, AFF3, AGAP6, AGER, AIF1, AKAP17A, AKAP7, AKAP8, ALOX12P2, AMHR2, AMN1, AMPD2, AMPH, ANKHD1-EIF4EBP3, ANKRD11, ANKRD13D, ANKS3, AP2A2, ARHGAP24, ARHGAP4, ARHGAP9, ARHGEF1, ARHGEF2, ARHGEF7, ARID5B, ARNT2, ARPP21, ARRB2, ATAD3B, ATF7IP2, ATHL1, ATM, ATN1, ATP10A, ATP11A-AS1, ATP13A4, ATP9A, AUTS2, AVIL, BASP1, BCAS4, BCL2A1, BCL6, BDP1, BMF, BRF1, BTG1, BTN2A1, BTN3A1, C10orf76, C11orf72, C15orf39, C15orf52, C16orf74, C19orf43, C19orf66, C2CD2L, C5AR1, C6orf48, C6orf99, CABLES2, CABP4, CACNA1C, CADM2, CAMK2G, CAMK4, CASZ1, CAV1, CBX4, CBX7, CCDC144CP, CCDC162P, CCDC6, CCDC85C, CCDC88B, CCDC92, CCHCR1, CCL4L1, CCZ1, CD37, CD6, CD79A, CDH9, CDKN2D, CDYL, CELF1, CHD3, CHRM3, CHRNA3, CIR1, CIRBP, CLEC4A, CLN3, CMC2, CMIP, CMPK2, CMYA5, CNOT1, CNTNAP1, COL24A1, COTL1, CREG2, CRELD2, CROCC, CROCCP2, CRY2, CSF2RA, CSMD1, CSN1S1, CSNK1E, CSNK1G2, CSRNP1, CTSD, CUBN, CUTA, CXCL10, CXCL16, CXXC5, CYFIP2, DARS-AS1, DDAH2, DDX23, DGKA, DGKD, DGKQ, DHFRL1, DHX30, DHX8, DIP2B, DLGAP1-AS1, DLGAP4-AS1, DNAL1, DNASE1, DNASE2, DNHD1, DNM1, DOC2GP, DOK2, DPF1, DPP9, DTX3, DUSP1, DUSP2, DUSP22, DUSP4, DVL1, DYNLL2, DYRK2, EFNB2, EFR3B, EGLN2, EIF1AX-AS1, EIF2S2P3, EIF3EP1, EIF4A1, ELK1, ELP5, EMC8, EPB42, EPHA1-AS1, EVL, EXT1, EZH1, FAM103A1, FAM106A, FAM129C, FAM134B, FAM157C, FAM219A, FAM222B, FAM69A, FAM83D, FAM83G, FBRS, FBRSL1, FBXO38, FCAR, FCGR3B, FCHSD2, FCRL1, FFAR1, FFAR2, FLYWCH1, FMN1, FMNL1, FMNL3, FOSB, FOXN3, FPGT-TNNI3K, FURIN, FZD8, GALNT2, GALNT6, GCA, GFOD1, GLTSCR2, GNA12, GNAI2, GNPTAB, GOLGA2, GON4L, GRIK1, GSDMB, GSTP1, GUSBP2, GVINP1, GYPB, HECW2, HERPUD1, HES1, HHLA1, HIC1, HIST1H2BK, HIST1H4C, HIST1H4I, HIVEP1, HIVEP3, HLA-B, HMGCS1, HMHA1, HNRNPUL1, HOXA3, HOXA5, HVCN1, ICAM1, ID2, IER2, IER5, IFFO2, IFI44L, IFNG, IFNGR2, IGF1, IGF1R, IGF2R, IGFBP6, IL10, IL17RA, IL18RAP, IL1R2, IL23A, IL24, IL7R, INADL, INO80, INPP5K, IQGAP2, ITGB2, ITPKB, JARID2, JUNB, JUND, KCNMB1, KDM2A, KDM2B, KDM7A, KIAA0355, KIAA0430, KIAA0556, KIAA1024, KIAA2013, KIR3DX1, KLF7, KLRB1, KMT2B, LAIR1, LAIR2, LCK, LEF1, LENG8-AS1, LGSN, LIMS2, LINC00304, LINC00869, LINC01554, LMBR1L, LMF2, LMLN, LRCH1, LRG1, LRRC43, LRRC69, LRRK1, LRWD1, LSM14B, LSM7, LTB, LY86, MAF, MAFB, MAGEE1, MALAT1, MAML2, MAN1A2, MANEA-AS1, MAP1A, MAP3K11, MAP3K7CL, MAP4K4, MAPKBP1, MB, MBD6, MDGA2, MED13L, MEF2C, MEX3C, MFSD4, MGAM, MGRN1, MIDN, MKNK1, MLLT6, MLXIP, MMP9, MN1, MNT, MOB3A, MOK, MPHOSPH8, MPRIP, MREG, MRPL55, MRPS24, MSL1, MTURN, MVD, MVK, MYO9B, MYPOP, MZF1-AS1, NAA60, NATD1, NEDD9, NEGR1, NEIL1, NFATC2, NFIA-AS2, NFKBIA, NHLRC3, NKIRAS1, NLRP1, NOTCH1, NR3C1, NRCAM, NRDE2, NSUN2, NUAK2, NYNRIN, OCEL1, OCIAD2, OSTN, OVGP1, PAFAH2, PAG1, PAK1, PALB2, PALD1, PALLD, PANX2, PAQR6, PBXIP1, PCDH9, PCSK5, PDE7A, PDE9A, PER1, PET100, PFDN5, PHKA2, PI4KA, PIEZO1, PIK3C2B, PIK3R1, PILRB, PIM2, PIM3, PIP5KL1, PITHD1, PLA2G6, PLEKHA2, PLEKHO1, PLLP, PLXND1, POLR2J3, POMT1, POU2F2, PPAP2C, PPBP, PPP1R10, PPP1R12C, PPP1R13L, PPP1R16B, PRKACA, PRKCQ-AS1, PRKD2, PRKRIP1, PRKRIRP3, PRMT6, PTGER4, RAB31, RAB33A, RAB4B, RANBP10, RAPGEF1, RASAL3, RASSF5, RBM17, RBM38, RBPMS, RELB, RERE, REXO1L1P, RFC1, RGL4, RGS1, RHOH, RHOT2, RHPN1, RNASET2, RNF220, RNU6-645P, RPAIN, RPL32P3, RPS27, RPS4XP16, RPS6KA2, RRAGC, RSPH4A, RSRC1, RUNX3, RWDD1, SAP30L-AS1, SASH3, SAT2, SCN11A, SCRG1, SEMA3C, SENCR, 9-Sep, SERPINF1, SETD1B, SGIP1, SH3GL1P1, SIN3B, SIPA1, SIVA1, SLC13A4, SLC15A4, SLC25A5-AS1, SLC30A5, SLC35E3, SLC38A1, SLC43A2, SLC4A4, SLC7A6, SLC8A1-AS1, SLC8B1, SLC9A3R1, SLCO5A1, SLITRK5, SMARCA4, SMIM3, SNHG6, SNHG7, SNHG9, SNRNP70, SNX33, SON, SOX11, SOX2-OT, SOX4, SP110, SPACA6P, SPAG5, SPATA21, SPECC1, SPON1, SPRTN, SRP72P2, SRSF4, SSBP3, SSH2, SSSCA1, ST20-AS1, ST3GAL1, STAT6, STK10, STK4, STRBP, STRN4, STX3, STX6, SUSD1, SYN3, SYT4, TAF5, TBC1D17, TBX10, TBX19, TCF3, TCF4, TCF7, TCF7L2, TECPR1, TENM1, TFE3, THBS3, TMC8, TMEM106A, TMEM136, TMEM156, TMEM192, TMEM38A, TMSB10, TNFAIP3, TNFRSF1B, TNFSF11, TNS3, TOP3A, TP53I11, TPM2, TPT1-AS1, TRAF4, TRAPPC2B, TRAT1, TRBC2, TRBV23-1, TRIAP1, TRIB2, TRIM71, TSC22D1, TSC22D3, TTBK2, TTC13, TTC21A, TTN, TUSC7, UBE2Z, UGT3A2, ULBP1, ULK1, UPF2, USF2, USP36, UTP14C, VAMP2, VHL, VPS13D, VPS37B, WDR20, WDR53, WDR66, WFS1, WIPF2, WWOX, XIRP2, YPEL3, YTHDF1, YTHDF3-AS1, ZBTB4, ZBTB7A, ZBTB8A, ZC3H13, ZFAND2A, ZFAS1, ZFP36L1, ZMAT3, ZNF12, ZNF133, ZNF230, ZNF274, ZNF430, ZNF444, ZNF526, ZNF532, ZNF606, ZNF608, ZNF626, ZNF740, ZNF843, ZP1, ZSCAN30, ZSWIM8, ZYX","Single-cell sequencing","1","more details"
"Mouse","Blood","Activated CD8+ T cell","Normal","Ccl5, Cd8a, Cd8b1, Tcf7, Trbc2","Single-cell sequencing","1","more details"
"Mouse","Blood","B cell","Normal","CD19","Single-cell sequencing","1","more details"
"Mouse","Blood","B cell","Normal","Cd79b, Ly6d","Single-cell sequencing","1","more details"
"Mouse","Blood","CD4+ T cell","Normal","Cd4, Igfbp4, Tcf7, Trbc2","Single-cell sequencing","1","more details"
"Mouse","Blood","CD8+ T cell","Normal","Cd8a, Cd8b1, Tcf7, Trbc2","Single-cell sequencing","1","more details"
"Mouse","Blood","Dendritic cell","Normal","Basp1, Ccl5, Fscn1, S100a4, Tcf7","Single-cell sequencing","1","more details"
"Mouse","Blood","Dendritic cell","Normal","CD11c, CD14, CD16","Single-cell sequencing","1","more details"
"Mouse","Blood","Germinal center B cell","Normal","Basp1, Cd79b, Igj","Single-cell sequencing","1","more details"
"Mouse","Blood","Induced regulatory T (Treg) cell","Normal","Folr4, Tcf7, Trbc2","Single-cell sequencing","1","more details"
"Mouse","Blood","Inflammatory monocyte","Normal","Ccl5, S100a4","Single-cell sequencing","1","more details"
"Mouse","Blood","Ly6c+ monocyte","Normal","Ccr2, Lyz2, S100a4","Single-cell sequencing","1","more details"
"Mouse","Blood","Macrophage","Normal","Basp1, Bst2, Cd5l, Cd79b, Gzma, S100a4, Vcam1","Single-cell sequencing","1","more details"
"Mouse","Blood","Monocyte","Normal","CD11c, CD14, CD16","Single-cell sequencing","1","more details"
"Mouse","Blood","Natural killer cell","Normal","Ccl5, Gzma","Single-cell sequencing","1","more details"
"Mouse","Blood","Natural killer cell","Normal","CD16, CD56, CD8a","Single-cell sequencing","1","more details"
"Mouse","Blood","Plasmacytoid dendritic cell","Normal","Bst2, Ly6d","Single-cell sequencing","1","more details"
"Mouse","Blood","Regulatory T (Treg) cell","Normal","Folr4, Tcf7, Trbc2","Single-cell sequencing","1","more details"
"Mouse","Blood","T cell","Normal","CD3e, CD4, CD8a","Single-cell sequencing","1","more details"
"Mouse","Bone marrow","Red blood cell (erythrocyte)","Normal","Beta-s, Car2, Cited4, Gata1, Gata2, Gfi1b, Hba-a2, Klf1, Phf10, Zfpm1","Single-cell sequencing","1","more details"
"Mouse","Bone marrow","Red blood cell (erythrocyte)","Normal","Car1, Hba-a2","Single-cell sequencing","1","more details"
"Mouse","Bone","Red blood cell (erythrocyte)","Normal","Car1, Clec4d, Gata1, Gfi1b, Klf1, Mfsd2b, Nfia, Slc45a3","Single-cell sequencing","1","more details"
"Mouse","Embryo","Blood progenitor cell","Normal","Flk1, Runx1","Single-cell sequencing","1","more details"
"Mouse","Embryo","Blood progenitor cell","Normal","Tal1, Runx1","Single-cell sequencing","1","more details"